Sample	Mapping_rate	Unique_rate	Mismatch_rate	depth	Coverage
HGSHC118	99.25	96.32	0.87	8.27	96.52
HGSHC119	99.26	96.79	0.77	9.16	97.48
HGSHC120	99.26	94.02	0.83	11.95	77.83
HGSHC121	99.26	96.37	0.78	9.89	97.61
HGSHC122	99.27	95.91	0.84	9.86	96.7
HGSHC123	99.27	94.85	0.81	9.4	83.47
HGSHC124	99.27	96.05	0.83	10.85	96.99
HGSHC125	99.27	96.31	0.8	8.47	97.42
HGSHC126	99.27	96.63	0.85	5.64	96.45
HGSHC127	99.28	96.43	0.77	7.81	97.25
HGSHC128	99.28	94.75	0.83	9.69	77.67
HGSHC129	99.28	95.56	0.83	10.68	96.96
HGSHC130	99.28	96.25	0.87	8.95	96.72
HGSHC131	99.28	96.45	0.84	10.83	96.88
HGSHC132	99.29	96.34	0.81	10.11	97.62
HGSHC133	99.3	96.35	0.8	10.02	97.63
HGSHC134	99.31	96.36	0.8	9.61	97.56
HGSHC135	99.31	96.33	0.83	6.46	95.36
HGSHC136	99.31	96.43	0.84	9.41	96.91
HGSHC137	99.31	95.88	0.82	9.83	96.55
HGSHC138	99.31	95.6	0.83	9.61	96.43
HGSHC139	99.32	96.44	0.8	8.37	97.35
HGSHC140	99.32	96.38	0.8	8.53	97.39
HGSHC141	99.32	94.08	0.83	8.24	77.36
HGSHC142	99.32	96.31	0.81	5.75	96.56
HGSHC143	99.33	97.06	0.76	7.91	97.19
HGSHC144	99.34	96.65	0.8	9.21	97.58
HGSHC145	99.34	96.49	0.8	9.82	96.99
HGSHC146	99.35	96.64	0.78	10.21	97.56
HGSHC147	99.35	97.16	0.84	8.01	97.24
HGSHC148	99.35	96.67	0.75	9.38	97.51
HGSHC149	99.35	95.92	0.82	9.92	96.73
HGSHC150	99.36	96.78	0.87	8.8	95.63
HGSHC151	99.37	96.62	0.82	10.03	97.26
HGSHC152	99.38	96.32	0.81	11.48	97.34
HGSHC153	99.39	96.86	0.85	8.07	97.06
HGSHC154	99.39	96.78	0.79	9.7	97.55
HGSHC155	99.39	96.58	0.78	10.19	97.62
HGSHC156	99.4	96.1	0.83	9.77	96.78
HGSHC157	99.4	96.59	0.78	10.04	97.54
HGSHC158	99.41	97.24	0.74	8.55	97.33
HGSHC159	99.41	96.76	0.77	10.59	97.57
HGSHC160	99.41	96.81	0.79	9.2	97.47
HGSHC161	99.41	96.09	0.82	10.44	96.68
HGSHC162	99.41	97.08	0.83	8.34	96.99
HGSHC163	99.42	96.83	0.79	9.57	97.15
HGSHC164	99.43	96.44	0.78	8.97	97.12
HGSHC165	99.43	97.31	0.84	7.37	96.8
HGSHC166	99.43	96.77	0.8	9.94	97.05
HGSHC167	99.43	96.68	0.82	10.8	96.75
HGSHC168	99.44	96.88	0.8	8.97	96.74
HGSHC169	99.45	96.52	0.81	8.4	96.32
HGSHC170	99.46	97.7	0.69	11.65	97.25
HGSHC171	99.47	97.05	0.73	8.51	96.94
HGSHC172	99.51	97.72	0.72	8.9	97.03
HGSHC173	99.51	97.61	0.73	8.48	96.99
HGSHC174	99.55	97.64	0.69	9.63	97.33
HGSHC175	99.59	97.77	0.68	10.33	97.2
HGSHC176	99.64	97.8	0.68	9.94	97.13
